"","Tanggal","Curah_Hujan","Nama_Stasiun"
"479",2008-04-23,0,"Pegasing"
"480",2008-04-24,0,"Pegasing"
"481",2008-04-25,0,"Pegasing"
"482",2008-04-26,0,"Pegasing"
"483",2008-04-27,0,"Pegasing"
"484",2008-04-28,0,"Pegasing"
"485",2008-04-29,0,"Pegasing"
"486",2008-04-30,0,"Pegasing"
"487",2008-05-01,0,"Pegasing"
"488",2008-05-02,0,"Pegasing"
"489",2008-05-03,0,"Pegasing"
"490",2008-05-04,0,"Pegasing"
"491",2008-05-05,0,"Pegasing"
"492",2008-05-06,0,"Pegasing"
"493",2008-05-07,0,"Pegasing"
"494",2008-05-08,0,"Pegasing"
"495",2008-05-09,0,"Pegasing"
"496",2008-05-10,0,"Pegasing"
"497",2008-05-11,0,"Pegasing"
"498",2008-05-12,0,"Pegasing"
"499",2008-05-13,0,"Pegasing"
"500",2008-05-14,0,"Pegasing"
"501",2008-05-15,0,"Pegasing"
"502",2008-05-16,0,"Pegasing"
"503",2008-05-17,0,"Pegasing"
"504",2008-05-18,0,"Pegasing"
"505",2008-05-19,0,"Pegasing"
"506",2008-05-20,0,"Pegasing"
"507",2008-05-21,0,"Pegasing"
"508",2008-05-22,0,"Pegasing"
"509",2008-05-23,0,"Pegasing"
"510",2008-05-24,0,"Pegasing"
"511",2008-05-25,0,"Pegasing"
"512",2008-05-26,0,"Pegasing"
"513",2008-05-27,0,"Pegasing"
"514",2008-05-28,0,"Pegasing"
"515",2008-05-29,0,"Pegasing"
"516",2008-05-30,0,"Pegasing"
"517",2008-05-31,0,"Pegasing"
"518",2008-06-01,0,"Pegasing"
"519",2008-06-02,0,"Pegasing"
"520",2008-06-03,0,"Pegasing"
"521",2008-06-04,0,"Pegasing"
"522",2008-06-05,0,"Pegasing"
"523",2008-06-06,0,"Pegasing"
"524",2008-06-07,0,"Pegasing"
"525",2008-06-08,0,"Pegasing"
"526",2008-06-09,0,"Pegasing"
"527",2008-06-10,0,"Pegasing"
"528",2008-06-11,0,"Pegasing"
"529",2008-06-12,0,"Pegasing"
"530",2008-06-13,0,"Pegasing"
"531",2008-06-14,0,"Pegasing"
"532",2008-06-15,0,"Pegasing"
"533",2008-06-16,0,"Pegasing"
"534",2008-06-17,0,"Pegasing"
"535",2008-06-18,0,"Pegasing"
"536",2008-06-19,0,"Pegasing"
"537",2008-06-20,0,"Pegasing"
"538",2008-06-21,0,"Pegasing"
"539",2008-06-22,0,"Pegasing"
"540",2008-06-23,0,"Pegasing"
"541",2008-06-24,0,"Pegasing"
"542",2008-06-25,0,"Pegasing"
"543",2008-06-26,0,"Pegasing"
"544",2008-06-27,0,"Pegasing"
"545",2008-06-28,0,"Pegasing"
"546",2008-06-29,0,"Pegasing"
"547",2008-06-30,0,"Pegasing"
"548",2008-07-01,0,"Pegasing"
"549",2008-07-02,0,"Pegasing"
"550",2008-07-03,0,"Pegasing"
"551",2008-07-04,0,"Pegasing"
"552",2008-07-05,0,"Pegasing"
"553",2008-07-06,0,"Pegasing"
"554",2008-07-07,0,"Pegasing"
"555",2008-07-08,0,"Pegasing"
"556",2008-07-09,0,"Pegasing"
"557",2008-07-10,0,"Pegasing"
"558",2008-07-11,0,"Pegasing"
"559",2008-07-12,0,"Pegasing"
"560",2008-07-13,0,"Pegasing"
"561",2008-07-14,0,"Pegasing"
"562",2008-07-15,0,"Pegasing"
"563",2008-07-16,0,"Pegasing"
"564",2008-07-17,0,"Pegasing"
"565",2008-07-18,0,"Pegasing"
"566",2008-07-19,0,"Pegasing"
"567",2008-07-20,0,"Pegasing"
"568",2008-07-21,0,"Pegasing"
"569",2008-07-22,0,"Pegasing"
"570",2008-07-23,0,"Pegasing"
"571",2008-07-24,0,"Pegasing"
"572",2008-07-25,0,"Pegasing"
"573",2008-07-26,0,"Pegasing"
"574",2008-07-27,0,"Pegasing"
"575",2008-07-28,0,"Pegasing"
"576",2008-07-29,0,"Pegasing"
"577",2008-07-30,0,"Pegasing"
"578",2008-07-31,0,"Pegasing"
"579",2008-08-01,0,"Pegasing"
"580",2008-08-02,0,"Pegasing"
"581",2008-08-03,0,"Pegasing"
"582",2008-08-04,0,"Pegasing"
"583",2008-08-05,0,"Pegasing"
"584",2008-08-06,0,"Pegasing"
"585",2008-08-07,0,"Pegasing"
"586",2008-08-08,0,"Pegasing"
"587",2008-08-09,0,"Pegasing"
"588",2008-08-10,0,"Pegasing"
"589",2008-08-11,0,"Pegasing"
"590",2008-08-12,0,"Pegasing"
"591",2008-08-13,0,"Pegasing"
"592",2008-08-14,23,"Pegasing"
"593",2008-08-15,0,"Pegasing"
"594",2008-08-16,0,"Pegasing"
"595",2008-08-17,0,"Pegasing"
"596",2008-08-18,0,"Pegasing"
"597",2008-08-19,0,"Pegasing"
"598",2008-08-20,0,"Pegasing"
"599",2008-08-21,0,"Pegasing"
"600",2008-08-22,0,"Pegasing"
"601",2008-08-23,0,"Pegasing"
"602",2008-08-24,0,"Pegasing"
"603",2008-08-25,0,"Pegasing"
"604",2008-08-26,0,"Pegasing"
"605",2008-08-27,0,"Pegasing"
"606",2008-08-28,0,"Pegasing"
"607",2008-08-29,0,"Pegasing"
"608",2008-08-30,0,"Pegasing"
"609",2008-08-31,0,"Pegasing"
"610",2008-09-01,0,"Pegasing"
"611",2008-09-02,0,"Pegasing"
"612",2008-09-03,0,"Pegasing"
"613",2008-09-04,0,"Pegasing"
"614",2008-09-05,0,"Pegasing"
"615",2008-09-06,0,"Pegasing"
"616",2008-09-07,0,"Pegasing"
"617",2008-09-08,0,"Pegasing"
"618",2008-09-09,0,"Pegasing"
"619",2008-09-10,0,"Pegasing"
"620",2008-09-11,0,"Pegasing"
"621",2008-09-12,0,"Pegasing"
"622",2008-09-13,0,"Pegasing"
"623",2008-09-14,0,"Pegasing"
"624",2008-09-15,0,"Pegasing"
"625",2008-09-16,0,"Pegasing"
"626",2008-09-17,0,"Pegasing"
"627",2008-09-18,0,"Pegasing"
"628",2008-09-19,0,"Pegasing"
"629",2008-09-20,0,"Pegasing"
"630",2008-09-21,0,"Pegasing"
"631",2008-09-22,0,"Pegasing"
"632",2008-09-23,0,"Pegasing"
"633",2008-09-24,0,"Pegasing"
"634",2008-09-25,0,"Pegasing"
"635",2008-09-26,0,"Pegasing"
"636",2008-09-27,0,"Pegasing"
"637",2008-09-28,0,"Pegasing"
"638",2008-09-29,0,"Pegasing"
"639",2008-09-30,0,"Pegasing"
"640",2008-10-01,39,"Pegasing"
"641",2008-10-02,41.5,"Pegasing"
"642",2008-10-03,6.5,"Pegasing"
"643",2008-10-04,9,"Pegasing"
"644",2008-10-05,0,"Pegasing"
"645",2008-10-06,0,"Pegasing"
"646",2008-10-07,0,"Pegasing"
"647",2008-10-08,0,"Pegasing"
"648",2008-10-09,0,"Pegasing"
"649",2008-10-10,0,"Pegasing"
"650",2008-10-11,0,"Pegasing"
"651",2008-10-12,24,"Pegasing"
"652",2008-10-13,0,"Pegasing"
"653",2008-10-14,0,"Pegasing"
"654",2008-10-15,0,"Pegasing"
"655",2008-10-16,0,"Pegasing"
"656",2008-10-17,0,"Pegasing"
"657",2008-10-18,0,"Pegasing"
"658",2008-10-19,0,"Pegasing"
"659",2008-10-20,5,"Pegasing"
